Title,factory_name,date_reported,num_affected,buyers,response_action,allegation_summary,issue_groups,Response Link,source_link,factory_lower
#665 - Universal Apparel,Universal Apparel,2024-10-31,1200.0,"El Corte Inglés (Buyer),Mango (Former buyer),Moores (Buyer),Pronto Uomo (Buyer),Sfera (Buyer)","Universal Apparel allegedly supplies to or has previously supplied to Mango, El Corte Ingles (incl. for its brand Sfera), Pronto Uomo and Moores; El Corte Ingles provided a response to a request for comment from the Resource Centre, stating it is ceasing operations with the factoriy in January 2025, and will cease all relationships with suppliers in Myanmar in 2025. Pronto Uomo and Moores did not respond. Mango has previously informed us it no longer sources from Myanmar.","In October 2024, it was reported that workers at Universal Apparel are facing a series of violations, including mandatory overtime, with workers who do not work overtime subjected to verbal abuse, excessive production targets and workers facing verbal abuse to meet targets, workers denied paid leave and scolded if they take medical leave, the Workplace Coordination Committee being formed by the employer, lack of medicine at the clinic, and child workers who are working at the same level as adult workers.","Attacks on freedom of association,Child labour,Denial of leave,Gender-based violence and harassment,Harassment intimidation and abuse,Inhumane work rates and mandatory overtime,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-universal-apparel-workers-face-series-of-labour-rights-violations-incl-intimidation-pressing-workers-to-meet-high-production-targets/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-labour-rights-abuses-reported-at-universay-apparel-factory/?utm_source=mosaic&utm_medium=api,universal apparel
#664 - Myanmar Jiale Fashion Garment,Myanmar Jiale Fashion Garment,2024-10-31,500.0,"Dub (Buyer),Hennes & Mauritz (H&M) (Former buyer),Inditex (Former buyer),New Yorker (Buyer),OYSHO (part of Inditex) (Former buyer),Shisky (Buyer),Zara (part of Inditex) (Former buyer)","Myanmar Jiale Fashion Garment allegedly supplies or has supplied to H&M, Inditex (for ZARA and OYSHO), Dub and Shisky; H&M provided a response to a request for comment from the Resource Centre, stating it had phased out production in the factory in 2024. Dub and Shisky did not respond. Inditex has previously informed the Resource Centre that it no longer sources from the factory.","In October 2024, it was reported that workers at Myanmar Jiale Fashion are facing a series of violations, including workers unable to withdraw withheld wages, verbal abuse if workers don't meet targets, low overtime pay, no benefits incl. Paid leave according to the law.","Denial of leave,Gender-based violence and harassment,Harassment intimidation and abuse,Inhumane work rates and mandatory overtime,Reduced wages and wage theft",https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-at-jiale-fashion-report-abuse-benefits-wage-theft/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-factory-owner-withholding-workers-wages/?utm_source=mosaic&utm_medium=api,myanmar jiale fashion garment
#663 - Maiyibei (Yangon) Garment Manufacturing,Maiyibei (Yangon) Garment Manufacturing,2024-10-31,1200.0,"Alcott (Buyer),Hang Ten (Buyer),LPP Spółka Akcyjna (Buyer),Original Marines (Buyer),Sinsay (part of LPP S.A.) (Buyer)","Maiyibei (Yangon) Garment Manufacturing allegedly supplies to Alcott, Hang Ten, LPP (for Sinsay) and Original Marines; LPP provided a response to a request for comment from the Resource Centre. Alcott, Hang Ten and Original Marines did not.","In October 2024, it was reported that the Maiyi Bei Garment factory told workers who had returned to work after visiting their homes for the holiday were told they were not going to be paid for the holiday because they returned to work one day late. Workers also reported that underage workers are forced to work at the same level as their adult counterparts, the transport provided by the factory is too crowded, putting workers at risk, and workers are not receiving their full wages.","Child labour,Reduced wages and wage theft,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-brands-asked-to-respond-to-leave-child-labour-allegations-at-maiyi-bei-garment-factory/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-workers-at-mai-yi-bei-garment-manufacturing-co-allege-wage-theft-poor-sanitation-and-safety-and-illegal-use-of-underage-workers/?utm_source=mosaic&utm_medium=api,maiyibei (yangon) garment manufacturing
#662 - Myanmar Qi Yuan,Myanmar Qi Yuan,2024-10-29,600.0,,,"In October 2024, it was reported that workers at Myanmar Qi Yuan Garment are facing a series of violations, including male workers forced to work as day labourers, receive low wages, stand while working, and face verbal abuse. Workers also reported facing denial of benefits, workers forced to buy soap for the toilets, no clinic or medicine at the factory, overtime shifts reduced after workers asked for an increase in meal allowance, workers fined for wasting fabric, workers forced to pay for gate passes to leave the factory and facing wage cuts, underage workers forced to work as day labourers and continuously without breaks, no breaks for workers to go to the toilet, workers suffering from heatstroke due to the fans not working, and materials piled up in the emergency corridor.","Child labour,Denial of leave,Denial of permanent contracts,Harassment intimidation and abuse,Inhumane work rates and mandatory overtime,Reduced wages and wage theft,Unsafe working conditions",,https://www.business-humanrights.org/en/latest-news/myanmar-workers-report-multiple-violations-at-garment-factory-incl-wage-deductions-verbal-abuse/?utm_source=mosaic&utm_medium=api,myanmar qi yuan
#661 - Aqua Shoe Factory,Aqua Shoe Factory,2024-10-29,,,,"In October 2024, it was reported that workers at Aqua Shoe factory were forced to work overtime everyday incl. on Saturdays, resulting in workers having to return home at night, facing safety issues, especially for those workers travelling long distances to and from the factory.","Inhumane work rates and mandatory overtime,Unsafe working conditions",,https://www.business-humanrights.org/en/latest-news/myanmar-workers-at-shoe-factory-forced-to-work-overtime-everyday-without-a-day-off/?utm_source=mosaic&utm_medium=api,aqua shoe factory
#660 - Prettex Myanmar,Prettex Myanmar,2024-10-29,500.0,,,"In October 2024, it was reported that workers at the factory are facing a series of violations, including workers not paid their owed overtime wages, workers forced to work late night for two consecutive days, workers forced to work overnight without the factory providing dinner or a ticket for the 5am shuttle bus, and workers working overtime on Saturdays and Sundays. It was also reported that the factory stated that there is a Workplace Coordination Committee, but the workers do not know who the members are.",Inhumane work rates and mandatory overtime,,https://www.business-humanrights.org/en/latest-news/myanmar-workers-forced-to-work-overtime-without-a-day-off/?utm_source=mosaic&utm_medium=api,prettex myanmar
#659 - Eternal Fashion,Eternal Fashion,2024-10-29,1.0,"Intersport (Buyer),TOREAD (Buyer),Zhejiang Semir Garment (Buyer)","Eternal Fashion allegedly supplies to Intersport, Semir Garment and Toread to respond; None of the brands provided a response to a request for comment from the Resource Centre.","On 22 October 2024, after workers at Eternal Fashion were required to work overtime until dawn, a worker returning home at 5am was struck by a taxi while crossing the road, after being dropped off by the shuttle bus. The worker sustained a severe head injury.","Inhumane work rates and mandatory overtime,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-risk-accident-injury-returning-home-after-overnight-shifts-incl-co-responses/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-face-injury-or-death-in-road-accidents-after-overtime-shifts/?utm_source=mosaic&utm_medium=api,eternal fashion
#658 - Eternal Fashion,Eternal Fashion,2024-10-29,45.0,"Intersport (Buyer),TOREAD (Buyer),Zhejiang Semir Garment (Buyer)","Eternal Fashion allegedly supplies to Intersport, Semir Garment and Toread to respond; None of the brands provided a response to a request for comment from the Resource Centre.","On 21 October 2024, workers from Eternal Fashion factory were severely injured after a road collision involving a factory shuttle bus and another car. The bus was carrying 45 workers. Among the workers, one required abdominal surgery, one suffered a broken hand, and another sustained facial injuries. The factory refused to cover medical expenses for those workers that were injured but not classified as inpatients, and stated that they couldn’t approve leave, only providing unpaid leave for those workers who were unable to come to work due to trauma from the accident.","Denial of leave,Harassment intimidation and abuse,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-risk-accident-injury-returning-home-after-overnight-shifts-incl-co-responses/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-face-injury-or-death-in-road-accidents-after-overtime-shifts/?utm_source=mosaic&utm_medium=api,eternal fashion
#657 - Eternal Fashion,Eternal Fashion,2024-10-29,10000.0,"Intersport (Buyer),TOREAD (Buyer),Zhejiang Semir Garment (Buyer)","Eternal Fashion allegedly supplies to Intersport, Semir Garment and Toread to respond; None of the brands provided a response to a request for comment from the Resource Centre.","In October 2024,  it was reported that workers at Eternal Fashion are at risk of injury and even death due to working overtime and leaving home in the early morning, as they are prone to accidents when returning home. For example, workers reported a car accident and a worker being hit by a bus. Workers who were involved in the car accident were denied paid leave if they were not inpatients, even if they are injured. Workers also reported that the Workplace Coordination Committee consists of people chosen by the employer, workers not given the same overtime pay, bonuses given only if workers reach their target, the factory pressuring those they don't like to quit and dismissing them, the factory taking money from workers and not returning the full amount, and the factory hiring new workers and moving workers they don't like to different work lines.","Attacks on freedom of association,Denial of leave,Inhumane work rates and mandatory overtime,Reduced wages and wage theft,Unfair dismissal,Unsafe working conditions",https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-risk-accident-injury-returning-home-after-overnight-shifts-incl-co-responses/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-face-injury-or-death-in-road-accidents-after-overtime-shifts/?utm_source=mosaic&utm_medium=api,eternal fashion
#656 - J-Land Myanmar,J-Land Myanmar,2024-10-28,800.0,"Guess (Buyer),Mango (Reported buyer)",J-Land Myanmar allegedly supplies or has previously supplied to GUESS and MANGO; GUESS did not provide a response to a request for comment from the Resource Centre. MANGO has previously informed the Resource Centre it does not source from the factory.,"In October 2024, it was reported that workers at J-Land Myanmar are facing a series of violations, including workers being publicly scolded for not working overtime and being transferred to different jobs in the factory, workers working everyday without a day off and being forced to work beyond the overtime that is agreed upon, workers not permitted to take their phones into the factory and as a result unable to inform their families of overtime shifts, denial of leave, and the hiring of around 100 underage workers who don't get equal wages to the rest of the workforce. The factory owner has reportedly instructed the manager to not take the WCC members seriously when they ask for help for the factory workers, and the WCC is not recognised.","Attacks on freedom of association,Child labour,Denial of leave,Gender-based violence and harassment,Harassment intimidation and abuse,Inhumane work rates and mandatory overtime,Reduced wages and wage theft",https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-forced-to-work-overtime-or-face-public-scolding-incl-co-response/?utm_source=mosaic&utm_medium=api,https://www.business-humanrights.org/en/latest-news/myanmar-garment-workers-forced-to-work-overtime-without-a-day-off-facing-verbal-abuse-if-they-refuse/?utm_source=mosaic&utm_medium=api,j-land myanmar
